0000000000,0000000000,0000000000,0001110000,0001310000,0001011110,0111202310,0130241110,0111121000,0000131000,0000111000,0000000000,0000000000,0000000000,0000000000,0000000000
0000000000,0000000000,0000000000,0000000000,0011111000,0110001100,0101320100,0103300100,0102420100,0110001100,0011111000,0000000000,0000000000,0000000000,0000000000,0000000000
0000000000,0000000000,0000000000,0000000000,1111111110,1000000010,1030003010,1020402010,1000001110,1030201000,1000001000,1111111000,0000000000,0000000000,0000000000,0000000000
1111100000,1400100000,1022101110,1020101310,1110111310,0110000310,0100010010,0100011110,0111110000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000
0000000000,0000000000,0000000000,0111111110,0100000011,1121111000,1000200020,1433100201,1133100001,0111111111,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000
0000000000,0000000000,0000000000,0000000000,0000000000,0011110000,0010011100,1110320100,1020020100,1000030100,1113041100,0011111000,0000000000,0000000000,0000000000,0000000000
0000000000,0000000000,0000000000,0000000000,0111111000,0133201000,0134001000,0102201000,0111001000,0001111000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000
0000000000,0000000000,0000000000,0000000000,0001111000,0001331000,0011031100,0010023100,0110200110,0100122010,0100400010,0111111110,0000000000,0000000000,0000000000,0000000000
0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000111111,0011100001,0113020000,0133202004,0133020201,0111111001,0000001111,0000000000,0000000000,0000000000
0000000000,0000000000,0000000000,0000000000,0011111000,0010001000,0112101110,0100024010,0101001010,0101303010,0100011110,0111110000,0000000000,0000000000,0000000000,0000000000
0000000000,0000000000,0000000000,0000000000,0000000000,0111100000,0100111000,0100001100,0103120100,0110400100,0013121100,0010001000,0011111000,0000000000,0000000000,0000000000
0000000000,0000000000,0000000000,0111111110,0100110010,1140103010,1302120010,1000200110,1301100100,1111111100,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000
0000000000,0000000000,0000000000,0111111110,0100310410,0101020010,0102312010,0110300010,0010011110,0011110000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000
0000000000,0000000000,0000000000,0001111000,0111001110,0103302310,0100220410,0111100010,0000111110,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000
0000000000,0000000000,0000000000,0000111110,0111140010,0100253010,0100000110,0100111100,0111100000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000
0000000000,0000000000,0000000000,0111111100,0100100110,1105523010,1000100010,1000401110,1001111000,1111000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000
0000000000,0000000000,0000000000,0000000000,0000111100,0000100100,0111102110,0104230010,0101100010,0100011010,0100050310,0111111110,0000000000,0000000000,0000000000,0000000000
0000000000,0000000000,0000000000,0000000000,0111111000,0103001000,0100141000,0100201100,0112100100,0100010100,0130500100,0111111100,0000000000,0000000000,0000000000,0000000000
0000000000,0000000000,0000000000,0000000000,0000111110,0111103010,0105403010,0102010010,0101002010,0100011110,0111110000,0000000000,0000000000,0000000000,0000000000,0000000000
0000000000,0000000000,0000000000,0011111110,0010330310,0010000010,0010500010,0010022210,0010000010,0010040010,0011111110,0000000000,0000000000,0000000000,0000000000,0000000000
